Squadra 1,Squadra 2,Campo,Ora,Arbitro,Set 1 Vinti,Set 2 Vinti,Punti 1,Punti 2
081 real naples,Andromeda,2,09:00,Le Cavalliere dello Zodiaco,1,0,25,18
Astroqueens,Brussels Sprouts,2,09:20,MiToMani,0,1,18,19
Elodee,Le porche-rie,2,09:40,Saint Seiga,0,1,17,20
Le Verginelle,ZODI-ASS,2,10:00,Gintonici,1,0,25,16
Andromeda,Astroqueens,2,10:20,Fuori Servizio,1,0,25,16
081 real naples,Brussels Sprouts,2,10:40,Sailor Cunts,1,0,25,15
ZODI-ASS,Elodee,2,11:00,Or@scopo,0,1,14,24
Le porche-rie,Le Verginelle,2,11:20,Glory OLD,0,1,17,24
Andromeda,Brussels Sprouts,2,11:40,MiToMani,0,1,18,23
Elodee,081 real naples,2,12:00,Or@scopo,0,0,0,0
Astroqueens,ZODI-ASS,2,12:20,Fuori Servizio,0,0,0,0
Brussels Sprouts,Le porche-rie,2,12:40,Gintonici,0,0,0,0
Le Verginelle,081 real naples,2,13:00,Le Cavalliere dello Zodiaco,0,0,0,0
Andromeda,Elodee,2,13:20,Saint Seiga,0,0,0,0
Le porche-rie,Astroqueens,2,13:40,Sailor Cunts,0,0,0,0
ZODI-ASS,Brussels Sprouts,2,14:00,Glory OLD,0,0,0,0
Le Verginelle,Andromeda,2,14:20,MiToMani,0,0,0,0
Astroqueens,081 real naples,2,14:40,Le Cavalliere dello Zodiaco,0,0,0,0
Elodee,Le Verginelle,2,15:00,Or@scopo,0,0,0,0
Le porche-rie,ZODI-ASS,2,15:20,Gintonici,0,0,0,0
Brussels Sprouts,Elodee,2,15:40,Fuori Servizio,0,0,0,0
Andromeda,Le porche-rie,2,16:00,Saint Seiga,0,0,0,0
081 real naples,ZODI-ASS,2,16:20,Glory OLD,0,0,0,0
Astroqueens,Le Verginelle,2,16:40,Sailor Cunts,0,0,0,0
Andromeda,ZODI-ASS,2,17:00,MiToMani,0,0,0,0
Brussels Sprouts,Le Verginelle,2,17:20,Or@scopo,0,0,0,0
Elodee,Astroqueens,2,17:40,Gintonici,0,0,0,0
081 real naples,Le porche-rie,2,18:00,Saint Seiga,0,0,0,0
